"genus","condition","avg_abundance"
"Candidatus Izimaplasma","a",0.583333333333333
"Candidatus Izimaplasma","b",0.333333333333333
"Candidatus Jettenia","a",0.3
"Candidatus Jettenia","b",0.233333333333333
"Candidatus Jidaibacter","a",0.0333333333333333
"Candidatus Jidaibacter","b",0.0333333333333333
"Candidatus Koribacter","a",0
"Candidatus Koribacter","b",0.0333333333333333
"Candidatus Kryptonium","a",0.4
"Candidatus Kryptonium","b",0.2
"Candidatus Kuenenia","a",0.2
"Candidatus Kuenenia","b",0.233333333333333
"Candidatus Liberibacter","a",0.0333333333333333
"Candidatus Liberibacter","b",0
"Candidatus Magnetobacterium","a",0.25
"Candidatus Magnetobacterium","b",0.0666666666666667
"Candidatus Magnetoglobus","a",0.166666666666667
"Candidatus Magnetoglobus","b",0.1
"Candidatus Magnetomorum","a",0.433333333333333
"Candidatus Magnetomorum","b",0.466666666666667
"Candidatus Magnetoovum","a",0.0666666666666667
"Candidatus Magnetoovum","b",0
"Candidatus Marispirochaeta","a",2.96666666666667
"Candidatus Marispirochaeta","b",2.36666666666667
"Candidatus Marithrix","a",0.533333333333333
"Candidatus Marithrix","b",0.166666666666667
"Candidatus Methanomethylophilus","a",0.2
"Candidatus Methanomethylophilus","b",0.133333333333333
"Candidatus Methanoperedens","a",0.366666666666667
"Candidatus Methanoperedens","b",0.366666666666667
"Candidatus Methanoplasma","a",0.7
"Candidatus Methanoplasma","b",0.833333333333333
"Candidatus Micrarchaeum","a",0.0333333333333333
"Candidatus Micrarchaeum","b",0
"Candidatus Odyssella","a",0.166666666666667
"Candidatus Odyssella","b",0.0333333333333333
"Candidatus Pelagibacter","a",0
"Candidatus Pelagibacter","b",0.0333333333333333
"Candidatus Phaeomarinobacter","a",0.466666666666667
"Candidatus Phaeomarinobacter","b",0.533333333333333
"Candidatus Profftella","a",0.233333333333333
"Candidatus Profftella","b",0.233333333333333
"Candidatus Saccharimonas","a",0.0333333333333333
"Candidatus Saccharimonas","b",0
"Candidatus Scalindua","a",0.233333333333333
"Candidatus Scalindua","b",0.133333333333333
